"bucket_type","bucket_id","artifact_type","status","current_count","minimum_required","missing_count","notes"
"syllabus_section","intro-exam-look","lesson","implemented","","","","introduction"
"syllabus_section","intro-scores-tracks","lesson","implemented","","","","introduction"
"syllabus_section","intro-how-prep","lesson","implemented","","","","introduction"
"syllabus_section","intro-maalau-register","lesson","implemented","","","","introduction"
"syllabus_section","intro-institution-register","lesson","implemented","","","","introduction"
"syllabus_section","intro-retake-rules","lesson","implemented","","","","introduction"
"syllabus_section","intro-exam-day-rules","lesson","implemented","","","","introduction"
"syllabus_section","intro-using-course","lesson","implemented","","","","introduction"
"syllabus_section","intro-timeline-prep","lesson","implemented","","","","introduction"
"syllabus_section","intro-time-pressure","practice_set","implemented","","","","introduction"
"syllabus_section","vocab-glossary","lesson","implemented","","","","vocabulary"
"syllabus_section","vocab-easy","question_bank_batch","implemented","","","","vocabulary"
"syllabus_section","vocab-mid","question_bank_batch","implemented","","","","vocabulary"
"syllabus_section","vocab-hard","question_bank_batch","implemented","","","","vocabulary"
"syllabus_section","vocab-flashcards","lesson","implemented","","","","vocabulary"
"syllabus_section","vocab-self-tests","practice_set","implemented","","","","vocabulary"
"syllabus_section","sc-guide","lesson","implemented","","","","sentence-completion"
"syllabus_section","sc-video","lesson","implemented","","","","sentence-completion"
"syllabus_section","sc-pack-easy","question_bank_batch","implemented","","","","sentence-completion"
"syllabus_section","sc-pack-mid","question_bank_batch","implemented","","","","sentence-completion"
"syllabus_section","sc-pack-hard","question_bank_batch","implemented","","","","sentence-completion"
"syllabus_section","sc-pack-adaptive","practice_set","implemented","","","","sentence-completion"
"syllabus_section","rs-guide","lesson","implemented","","","","sentence-rephrasing"
"syllabus_section","rs-video","lesson","implemented","","","","sentence-rephrasing"
"syllabus_section","rs-pack-easy","question_bank_batch","implemented","","","","sentence-rephrasing"
"syllabus_section","rs-pack-mid","question_bank_batch","implemented","","","","sentence-rephrasing"
"syllabus_section","rs-pack-hard","question_bank_batch","implemented","","","","sentence-rephrasing"
"syllabus_section","rs-pack-adaptive","practice_set","implemented","","","","sentence-rephrasing"
"syllabus_section","rc-guide","lesson","implemented","","","","reading-comprehension"
"syllabus_section","rc-video","lesson","implemented","","","","reading-comprehension"
"syllabus_section","rc-pack-easy","question_bank_batch","implemented","","","","reading-comprehension"
"syllabus_section","rc-pack-mid","question_bank_batch","implemented","","","","reading-comprehension"
"syllabus_section","rc-pack-hard","question_bank_batch","implemented","","","","reading-comprehension"
"syllabus_section","rc-pack-adaptive","practice_set","implemented","","","","reading-comprehension"
"syllabus_section","pilot-listening","lesson","implemented","","","","new-exam-format-2026"
"syllabus_section","pilot-listen-gap","question_bank_batch","implemented","","","","new-exam-format-2026"
"syllabus_section","pilot-word-formation","question_bank_batch","implemented","","","","new-exam-format-2026"
"syllabus_section","pilot-grammar-context","question_bank_batch","implemented","","","","new-exam-format-2026"
"syllabus_section","pilot-writing","lesson","implemented","","","","new-exam-format-2026"
"syllabus_section","pilot-scoring-note","lesson","implemented","","","","new-exam-format-2026"
"syllabus_section","sim-howto","lesson","implemented","","","","full-simulations"
"syllabus_section","sim-five-six","simulation_section","implemented","","","","full-simulations"
"syllabus_section","sim-ai","lesson","implemented","","","","full-simulations"
"syllabus_section","sim-calc","lesson","implemented","","","","full-simulations"
"syllabus_section","sim-tips","lesson","implemented","","","","tips-strategies"
"syllabus_section","sim-before","lesson","implemented","","","","tips-strategies"
"syllabus_section","sim-during","lesson","implemented","","","","tips-strategies"
"syllabus_section","sim-techniques","lesson","implemented","","","","tips-strategies"
"syllabus_section","sim-after","lesson","implemented","","","","course-summary"
"syllabus_section","sim-summary-course","lesson","implemented","","","","course-summary"
"syllabus_section","sim-quiz-final","practice_set","implemented","","","","course-summary"
"syllabus_section","sim-feedback","lesson","implemented","","","","course-summary"
"syllabus_section","sim-upsell","lesson","implemented","","","","course-summary"
"topic_bucket","vocabulary","question_bank_batch","covered","120","80","0",""
"topic_bucket","sentence_completion","question_bank_batch","covered","100","80","0",""
"topic_bucket","rephrasing","question_bank_batch","covered","90","80","0",""
"topic_bucket","reading_comprehension","question_bank_batch","covered","90","80","0",""
"difficulty_bucket","1","question_bank_batch","covered","60","50","0",""
"difficulty_bucket","2","question_bank_batch","covered","60","50","0",""
"difficulty_bucket","3","question_bank_batch","covered","90","50","0",""
"difficulty_bucket","4","question_bank_batch","covered","70","50","0",""
"difficulty_bucket","5","question_bank_batch","covered","60","50","0",""
"difficulty_bucket","6","question_bank_batch","covered","60","50","0",""
"global_bucket","all_topics","question_bank_batch","covered","400","400","0",""
